name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
"Lipton Sweetened Iced Tea Mix, Peach (89.8 oz.)",899,Brand New,0,False,
Pantai Thai Tea Leaves Mix ( Pantai ) Thai Iced Tea 16 oz ,1150,Brand New,3,True,
"Lipton Peach Iced Tea (16.9 oz., 24 pk)",2053,Brand New,0,False,
Number One The Original Thai Iced Tea Mix - Number One Brand Imported From Thail,1295,Brand New,3,False,
Lipton Family-Size Iced Tea Bags Picked At The Peak of Freshness Unsweetened... ,298,Brand New,0,False,
Lipton Black Iced Tea Mix Decaffeinated Unsweetened 30 qt,710,Brand New,3,False,
Ranong Instant Thai Tea  Mix Thai Iced Milk Tea 10 Sachets ,929,Brand New,0,False,159
"Starbucks Teavana Iced White Tea, 1.13 oz filter bags, CASE OF 20, JUNE 2022",1599,Brand New,3,True,
"Lipton Pure Leaf Unsweetened Iced Black Tea, 18 pk./16.9 oz. (Not ship to CA)",2446,Brand New,0,False,
"Lipton Sweetened Iced Tea Mix, Peach (89.8 oz.) ",1420,Brand New,3,False,
"Lipton Sweetened Ice Tea Mix, Raspberry 89.8 oz",1427,Brand New,3,False,65
Number One The Original Thai Iced Tea Mix,1441,Brand New,3,True,
"Thai Iced Tea Traditional Restaurant Style,16 oz (1LB.)",1137,Brand New,3,False,
"BOBA Black Tapioca Pearl Bubble Tea 8.8 oz for Milk Tea, Thai Tea, Iced Coffee",795,Brand New,3,True,914
Lipton Sweetened Iced Tea Mix Peach 89.8 oz,1339,Brand New,3,False,57
"Lipton Sweetened Iced Tea Mix, Lemon (89.8 oz.) -Free Shipping-",1399,Brand New,3,False,49
Lipton Zero Sugar Iced Tea Mix Black Tea Lemon Caffeinated 28 Quarts,1699,Brand New,0,False,
Tazo Tea Iced Passion Herbal Tea 6 Bag(S),700,Brand New,0,True,
"4C Drink Mix, Lemon Iced Tea, 66.1 Oz, Natural Lemon Flavor, 1 Count - 28 quarts",853,Brand New,3,False,
Vintage Tetley's Iced Tea Can,599,Pre-Owned,530,False,
"6x 7.5"" Long Stainless Steel Ice Cream Cocktail Teaspoons Coffee Soup Tea Spoons",999,Brand New,3,True,1256
"Lipton Sweetened Iced Tea Mix, Lemon (89.8 oz.) - NEW FRESH - Free Shipping",1390,Brand New,0,True,
Luzianne Decaffeinated Tea (96 Ct.),1688,Brand New,3,False,
"New ListingSet of 8 Iced Tea Spoons Prelude (Sterling, 1939) by INTERNATIONAL SILVER",1,,995,True,
Lipton Unsweetened Iced Tea Mix 30 qt,662,Brand New,0,True,
"New Big Size 200g Nestea Unsweetened Instant Tea Drink Powder , Ship from USA",2190,Brand New,0,False,
Lipton Iced Tea Mix Southern Sweet Tea 28 Quarts (FREE SHIPPING),859,Brand New,3,False,
New ListingLuzianne Family Size Iced Sweet Tea Bags,1095,Brand New,3,False,
"SPORTea Iced Tea, 7 Bags/Box, Quart Size Serving, 3oz",1000,Brand New,3,False,
"Long Handle Iced Tea Spoons, 9-Inch Long, Stainless Steel  - Set of 4",1152,Brand New,0,True,
Oneida Stainless DISTINCTION / FIRESIDE  Iced Tea Spoons - Set of Six * USA,999,Pre-Owned,3,True,
8-Piece 9-Inch Long Handle Iced Tea Spoon Ice Cream Spoon Premium 304 Stainle...,752,Brand New,0,True,
"Luzianne, Black Iced Tea, Tea Bags, 24 ct.",800,Brand New,3,False,
TWISTED HARD ICED TEA MULTI SIX TOOL KEY FOB,695,Pre-Owned,595,False,
"Lipton Caffeinated Mixed blend Black Iced Tea, 30 Quarts, Free shipping",1552,Brand New,0,True,
"Lipton Sweetened Iced Tea Mix, Peach",1149,Brand New,0,True,
New ListingPartylite Iced Crystal Trio votive tea light candle holder,1000,Pre-Owned,778,False,
"New ListingLipton Peach Iced Tea (16.9 oz., 24 pk)",2292,Brand New,3,False,
"NEW 4C Lemon Iced Tea Mix, 66.1 Oz, 1 Ct",1054,Brand New,3,False,
Iced Tea Mix Raspberry Flavor 35 Quart Can Sweetened Gluten Free Powder Pack,1759,Brand New,3,False,
New ListingSPICE TIN SANTA FE ICED TEA BOX NON BAG ORANGE PEKOE ARKANSAS CITY KS MORE LIST,999,Pre-Owned,550,True,
"Authentic Thai Iced Tea Flavored Black Tea,23 tea bags",951,Brand New,0,True,
Lipton Tea Bags Serve hot or iced (312 ct.),1875,Brand New,0,True,
New ListingINTERNATIONAL SILVER DELUXE GIGI STAINLESS ICED TEA SPOONS LOT 2 PC,1299,Pre-Owned,450,False,
Great Value Iced Tea Bags Gallon Sized 24 Oz 24 Count:,1093,Brand New,0,True,
WuFuYuan Tapioca Pearls Boba Bubble Tea 6 Variety Flavors 8.8 Oz. Your Choice,995,Brand New,3,False,
Lipton Iced Tea Mix Unsweetened 30 qt,641,Brand New,3,False,53
Vintage Twisted Tea Hard Iced Tea advertising barrel decor piece Hard To Find,10000,Pre-Owned,1442,False,
Lipton Cold Brew Iced Tea (66 count),1650,Brand New,0,True,
"Lipton Sweetened Iced Tea Mix, Lemon (89.8 oz.)",1251,Brand New,300,False,75
Authentic Thai Iced Tea Flavored Black Tea - Pack of 3,2134,Brand New,0,True,
New ListingNew Twisted Tea Banner Flag Hard Iced Tea Alcohol Bar Advertising Promotional,1295,Brand New,3,True,
"Pure Leaf Extra Sweet Real Brewed Iced Tea, 16.9 fl oz, 6 Pack Bottles",1499,Brand New,499,False,
Black BOBA Tapioca Pearls 2.2 lbs for Bubble Tea Milk Tea Thai Tea Iced Coffee,1489,Brand New,3,False,214
"San Benedetto Iced Tea, Peach, 12 Count",3390,Brand New,0,False,
"Luzianne Iced Sweet Tea, Bags 22 Ct. New",375,Brand New,3,True,
"Lipton Iced Tea Mix Southern Sweet Tea, 28 qt (Pack of 4)",4000,Brand New,0,True,
" Black Tea or Oolong teas- iced or hot - choose flavor, qty, loose leaf, teabags",710,Brand New,0,False,
Lipton Peach Iced Tea Black Family Size 2 Pack (2 Boxes/44 ct),1399,Brand New,0,False,
Black Forest Black Tea,450,Brand New,3,False,
Lipton Strawberry Watermelon Iced Tea 2 Pack (2 Boxes/32 ct),1399,Brand New,0,False,
Key Lime Herbal Tea,450,Brand New,3,False,
Luzianne Green Iced Tea,995,Brand New,3,False,
"Luzianne Specially Blended Gallon Size Iced Tea Bags, 24 Count Box",825,Brand New,3,True,
