name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
2018 Panini Score #352 Lamar Jackson Rookie RC Baltimore Ravens PSA 10 GEM Mint,8499,Pre-Owned,0,True,
New Listing2021-22 Obsidian Tmall Lebron James Magnitude Red Flood SP - Lakers,2500,,560,False,
New Listing2021-22 Prizm Basketball Lebron James Red Cracked Ice Prizm LA Lakers #91 SP,1500,Pre-Owned,175,False,
New Listing2011 Panini National Treasures #17 LeBron James All-Decade PATCH Heat 22/99,20000,Pre-Owned,3,False,
Nike Dunk Low QS LeBron James Fruity Pebbles DH8009-600,17999,Brand New,0,False,
2003 Upper Deck Box Set #12 LeBron James RC Rookie Gem Mint BCCG 10 Beckett,2499,Pre-Owned,560,False,
New ListingAdidas Authentic Lebron James Cavs  Jersey #23 Nice!! ,1999,Pre-Owned,1085,False,
Handmade Lebron James High School Jersey Card,350,Pre-Owned,3,False,
2019-20 Panini Mosaic Jam Masters LeBron James # 16 Los Angeles Lakers 🔥,374,,0,False,
New ListingLeBron James NBA 2XL Cavs Lakers Adidas jersey Rare alternate Stitched,99,Pre-Owned,499,False,
NBA LeBron James # 23 Los Angeles Lakers Swingman Kids Jersey Yellow Size XL&L,2000,Pre-Owned,3,False,
New ListingLeBron James NBA 2XL Cavs Lakers Adidas jersey. Stitched.,99,Pre-Owned,499,False,
New ListingReebox Lebron James #23 Cleveland Cavaliers Jersey Men's Size XL,99,Pre-Owned,1000,False,
New Listing2021-22 Panini Prizm Basketball #91 Lebron James Silver Los Angeles Lakers,799,Pre-Owned,199,False,
New Listing2003-04 Upper Deck Rookie Exclusives #1 LeBron James Cavaliers RC PSA 8 NM-MT,5000,Pre-Owned,480,False,
New ListingLebron James Gold NBA Logoman LA Lakers Purple Custom Art Card One of One 1/1 ,6999,Pre-Owned,0,False,
"FUNKO GOLD 5 NBA: Lakers - LeBron James (City Uniform) [New Toy] Vinyl Figure,",639,Brand New,0,True,
New ListingNike Lebron 18 Low Wile E. vs Roadrunner Space Jam CV7562-401 Mens Size 7.5,99,Pre-Owned,2245,False,
New Listing100% Authentic Adidas Rev30 Miami Heat LeBron James 2010-11 ProCut Jersey 2XL,29999,Pre-Owned,1060,False,
New ListingNIKE 807219-008 Lebron James XIII 13 Akronite Philosophy Men's Size 13,99,Pre-Owned,1746,False,
