name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
2 x 110 yd Clear Sealing Tape Rolls + Dispenser,1999,Brand New,0,False,
"36 Rolls Shipping Packaging Box Packing Sealing Tape 1.6 mil 2"" x 110 Yard 330FT",6894,Brand New,0,True,96
"Shipping Depot Carton Box Sealing Clear Packing Tape 2"" x 110Yds up to 144 Rolls",904,Brand New,0,False,
Brown Paper Carton Sealing Tape Eco Friendly Packing Tape Secure Packaging Tape,999,Brand New,0,True,
Packing Tape 36 Rolls 110 Yards 2 Mil (330 ft) Clear Carton Sealing Tapes,4998,Brand New,0,False,3271
Heavy Duty Sealing Packing | Shipping | Box Tape | Clear | **12 Rolls Carton,1999,Brand New,0,True,5450
Packaging Tape – Color Logo,3298,Brand New,0,True,10000
72 Rolls Clear Pcking Tape 110 ya  36 Rolls Carton Sealing Tape 2Mil 330 Ft,448,Brand New,0,False,520
"18 Rolls Carton Sealing Clear Packing Tape Box Shipping - 2 mil 2"" x 55 Yards",2499,Brand New,0,True,10000
Packaging Tape – Black and White Logo,3298,Brand New,0,True,10000
"36 Rolls Carton Sealing Clear Packing Tape Box Shipping - 2 mil 2"" x 55 Yards",4599,Brand New,0,True,10000
36 ROLLS - 2 INCH x 110 Yards (330 ft) Clear Carton Sealing Packing Package Tape,2999,Brand New,0,False,258
"36 Rolls Carton Sealing Clear Packing Tape Box Shipping- 1.8 mil 2"" x 110 Yards",5499,Brand New,0,True,3672
"36 Rolls Full Box 2"" 60 Yards 180ft 2.7MIL Sealing Clear Packing Shipping Tape",5000,Brand New,0,True,
"Clear Packing Tape, 6-Pack Power Grade, Strongest Tape on the Market, 3.2 Mil",1588,Brand New,0,False,1576
Transparent Tape Double Sided Traceless Washable Adhesive Invisible Gel 10 Feet,398,Brand New,0,False,
"36 Rolls Carton Sealing Clear Packing Tape Box Shipping 2"" x 55 Yards",3999,Brand New,0,False,3666
3 ROLLS Carton Sealing Packaging Packing Clear Tape 2 mil 2 x 55 yard 165 ft,849,Brand New,0,False,86
1-6-12-18-24-36-72 Rolls Clear Packing Packaging Carton Sealing Tape 2x110 Yards,699,Brand New,0,True,1204
36 Rolls Clear Packing Packaging Carton Sealing Tape 2.0 Mil Thick 2x110 Yards,5699,Brand New,0,True,10000
"Up to 144 Rolls Carton Sealing Clear Packing Shipping Box Tape 2"" or 3"" x 110 Yd",635,Brand New,0,False,49
Extra Quiet Packing Tape Moving Packing Storage Heavy Duty Clear Durable 6 Rolls,1299,Brand New,0,True,
"3M VHB 5925 Double Sided Tape Heavy Duty Mounting Tape for Car, Home and Office",899,Brand New,0,False,1496
"Scotch Shipping Packaging Tape, 1.88""x 22.2yd, 1.5"" Core, Clear, 6Rolls",1669,Brand New,0,False,
"36 Rolls Carton Sealing Clear Packing Shipping Box Tape 2"" x 110 Yards - LUX ",5525,Brand New,0,False,
"NEW ITEM - Holiday Packaging Tape – Blue, Red, and Teal",3418,Brand New,0,True,828
"6 Rolls Carton Sealing Clear Packing Tape Box Shipping - 2 mil 2"" x 110 Yards",1999,Brand New,0,True,7872
"12 Pack Heavy Duty Packaging Tape, Packing Tape Designed For Moving Box...",1999,Brand New,0,True,
24 Rolls Carton Packing | Shipping | Box Tape | Clear ,2999,Brand New,0,True,
2X Auto Tape Acrylic Foam Double Sided Car Mounting Adhesive 3m x 10mm Truck New,519,Brand New,0,True,
"12, 24, 36 Rolls Ebay Color Shipping and Packing Tape 2"" 75 Yard 2.7mil Thick",2599,Brand New,0,False,
6 Rolls Double Sided Removable Mounting Tape Heavy Duty Adhesive Nano Gel 16.5FT,1299,Brand New,0,True,464
Alien Tape Nano Tape Stick Nano Tape Locks Anything Without Screw Reusable Tape,685,Brand New,0,False,
"Flex Tape Rubberized Waterproof Tape, 4 inches x 5 feet, Black",990,Brand New,0,True,
"Scotch Heavy Duty Shipping Packaging Tape Dispensers, 1.88"" x 27.7 yd, 6 Pack",1699,Brand New,0,False,
"Packing Tape Roll (2"" x 30 yard) or (2"" x 110 yard) Box Package Boxing",299,Brand New,0,True,
"2"" EcoSwift Clear Packing Tape for Packaging Carton Box Moving Shipping Tape Gun",499,Brand New,0,False,311
12 Rolls Clear Packing Packaging Carton Sealing Tape 2.0 Mil Thick 2 x 110 Yards,2369,Brand New,0,True,3059
**35 Feet**Genuine 3M VHB #4905 Double-Sided Mounting Acrylic Foam Tape Adhesive,451,Brand New,0,True,1018
Water Activated 2”X 165 Reinforced Kraft Paper Carton Sealing Gummed Tape,1162,Brand New,0,False,
"14 Rolls Brown/Tan Packaging Tape 2""x110 Yards(330'Feet) Low Noise packing Tape",2950,Brand New,0,False,206
"Packing Tape 36 Rolls 2"" x 110 Yards (330' ft) Box Carton Sealing Clear 1.6 Mil",5696,Brand New,0,True,4977
4 rolls Cloth Tape Wire electrical wiring harness car auto suv truck 19mm*15m,677,Brand New,3,False,6071
36 Rolls Carton Heavy Duty Sealing Packing Tape Clear 110 Yard Rolls 2 Mill Tape,4999,Brand New,3,False,79
"Shurtape 2"" x 60 yd Filament High Tensile Strapping Fiberglass Tape 6 Rolls NEW",1999,Brand New,800,True,253
Water Tape – Brown with Black Logo,3689,Brand New,3,True,2437
"6 Rolls Carton Sealing Clear Packing Tape Box Shipping - 2 mil 2"" x 110 Yards",800,Brand New,0,True,
36 ROLLS - 2 INCH x 110 Yards (330 ft) Clear Carton Sealing Packing Package Tape,5664,Brand New,3,False,2086
Alien Nano Tape Heavy Duty double sided Transparent Reusable Tape As Seen on TV,699,Brand New,3,True,
"1~6~12~18~36~72 Rolls 2.0 Mil Clear Tape Carton Box Sealing Packing Tape 2""x110",566,Brand New,3,True,
"18 Rolls Carton Sealing Clear Packing Tape Box Shipping - 2 mil 2"" x 110 Yards",4199,Brand New,0,True,4467
Heavy Duty Sealing Packing | Shipping | Box Tape | Clear | **12 Rolls Carton,2199,Brand New,0,True,
"New Scotch Brand Heavy Duty Shipping Tape 2"" Wide x 22.2 Yards Long Single Pack",575,Brand New,0,False,
"Fiberglass Filament Reinforced Tape 3/4"" 1"" 2"" x 60 Feet Strapping Packaging",99,Brand New,3,True,96
eBay Branded Packaging Shipping Tape BOPP 1 Roll 75 Yards 2Mil Thickness MULTI,488,Brand New,3,True,
12 Rolls Clear Packing Packaging  Sealing Tape 2.0 Mil Thick 2 x 110 Yards,2345,Brand New,3,False,
"36 Rolls Carton Sealing Clear Packing 2 Mil Shipping Box Tape 2"" x 110 Yards",6695,Brand New,0,False,10000
Packing Tape Boxing Moving Storage Heavy Duty Pack Of 6 Thickness	2.7 Mils Clear,1367,Brand New,0,False,
10 Feet Double Sided Mounting Tape Super Sticky Adhesive Heavy Duty Multipurpose,349,Brand New,3,True,
Alien Tape 4-Pack 10 Ft. Rolls Multi-Functional Reusable Double-Sided Tape-NEW,1900,Brand New,3,False,
"1 ROLL EcoSwift Carton Sealing Packaging Packing Tape 1.6mil 2"" x 55 yard 165 ft",499,Brand New,3,False,10000
"36 Rolls Brown/Tan Acrylic Packing Tape Carton Sealing 1.75 Mil 2"" x 55 Yards",4133,Brand New,0,False,683
"Fiberglass Filament Reinforced Tape 3/4"" x 180' Feet Strapping Packaging",599,Brand New,3,False,
"New Duck Brand EZ Start Packing Tape, 1.88 in. x 54.6 yd., Clear, 8-Count USA...",2299,Brand New,3,True,
"6 Rolls Carton Sealing Clear Packing Tape Box Shipping - 1.8 mil 2"" x 110 Yards",1699,Brand New,0,True,1358
"3M 1/2"" x 9/15/21/108 VHB Double Sided Foam Adhesive Tape 5952 Gopro Action Can",496,Brand New,3,True,4204
Wholesale 72 Rolls Carton Heavy Duty Sealing Packing Tape Clear 110 Yard Rolls ,8999,Brand New,0,False,115
"72 Rolls Carton Sealing Clear Packing Tape Box Shipping - 2 mil 2"" x 110 Yards",11699,Brand New,0,True,819
2 Rolls Clear Tape 2in*0.08in*110 Yards Carton Sealing Packing Tape Packing Tape,759,Brand New,0,False,
RED Double Sided Super Sticky Heavy Duty Adhesive Tape For Cell Phone Repair,444,Brand New,0,False,1185
36 ROLLS Clear Packing Tape - 2 INCH x 110 Yards (330 ft) Carton Sealing Package,4699,Brand New,0,True,
Aluminum Foil Tape 2in x 55 Yd Heat Resistant Waterproof Insulation Home Repair,1199,Brand New,3,False,
18 Rolls Clear Packing Packaging Carton Sealing Tape 2.0 Mil Thick 2 x 110 Yards,3689,New – Open box,3,True,4947
"36 Rolls Fragile Heavy Duty Packing Tape 2.7 Mil 2"" x 60 Yards ",5200,Brand New,0,True,
"36 Rolls Heavy-Duty Carton Packing TAPE Tan Brown, 60 Yards 2.7 mil 2"" Wide ",5200,Brand New,0,True,
Shop on eBay,2000,Brand New,,False,
"36 Rolls 2"" x 55 Yards 165' Carton Sealing Brown Packing Shipping Box Tape New",3995,Brand New,3,True,
"36 Rolls Premium Brown Carton Box Sealing Packing Tape 2 Mil Thick 2""x110 yard",6360,Brand New,0,True,
"18 Rolls 2"" x 55 Yards 165' Carton Sealing Brown Packing Shipping Box Tape New",2695,Brand New,3,True,
"48 Rolls Premium Brown/Tan Carton Box Sealing Packing Tape - 2.0 Mil 3""x110 yard",11015,Brand New,0,True,1187
Aluminum Foil Tape 2in x 55 Yd Heat Resistant Waterproof Insulation Home Repair,1199,Brand New,3,False,
18 Rolls Clear Packing Packaging Carton Sealing Tape 2.0 Mil Thick 2 x 110 Yards,3689,New – Open box,3,True,4947
"36 Rolls Carton Sealing Clear Packing Tape Box Shipping - 1.75 mil 2"" x 55 Yards",4221,Brand New,0,True,
2 x 110 yd Clear Sealing Tape Rolls + Dispenser,1999,Brand New,3,False,
"24 Rolls Clear Packing Packaging Carton Sealing Tape 2.0 Mil 3"" x 110 Yard 330ft",5939,Brand New,3,True,1085
"3M VHB #5952 1/4"" x 15/21/36/108 ft Double-sided Acrylic Foam Tape Automotive.",498,Brand New,3,True,1148
"Flex Seal Strong Rubberized Waterproof Flex Tape, 4"" x 5' - Black",975,Brand New,3,False,
36 ROLLS 2.0Mil Carton Clear Sealing Packing Packaging Tape 2x110 Yards (330 ft),5519,Brand New,3,True,4151
3 Rolls Double Sided Removable Mounting Tape Heavy Duty Adhesive Gel 3*9.85FT,799,Brand New,3,True,304
"36 Rolls Carton Sealing Clear Packing Shipping Tape - 2 mil 2"" x 110 Yards",6299,Brand New,0,True,2970
"3M 5925 VHB double sided sticky pad VERY HIGH BOND 3-5/8"" W x 6"" L x .025""T",395,Brand New,0,False,
"2"" x 30 FT Safety Reflective Tape Adhesive for Staircase Warehouse Garage, White",999,Brand New,3,True,264
Heavy Duty Sealing Packing | Shipping | Box Tape | Clear | **12 Rolls Carton,2000,Brand New,3,False,915
Alien Nano Tape Double Sided Heavy Duty Reusable Adhesive Stick Transparent Tape,695,Brand New,3,True,
"Water Activated Reinforced Kraft Paper Gummed Tape 2.75"" x 450 feet",1599,Brand New,3,True,
Amazon Branded Extra-Strong Parcel Packaging 3M Tape 72MM X 914M HUGE ROLL,6000,Brand New,3,False,
Scotch 3M Storage Packing Tape 6 Rolls Heavy Duty Shipping Packaging Moving Box,2177,Brand New,3,True,
12 Rolls Clear Packing Tape Heavy Duty Adhesive For Moving Box & Packing Sealing,2094,Brand New,3,True,
"Warriorwrap General 3/4 In. X 60 Ft. 7 Mil Vinyl Electrical Tape, White",171,Brand New,0,False,
"Quiet Packing Tape - Pack of 6, Clear, Heavy-Duty, Packaging, Boxing and Shippin",1201,Brand New,0,False,
"Duck HD Clear Heavy Duty Packing Tape Refill, 6 Rolls, 1.88 Inch x 54.6 Yard",1940,Brand New,3,True,60
10Ft Double Sided Alien Tape Heavy Duty Mounting Tape Multipurpose Removable*.,589,Brand New,3,False,38
Nano Magical Tape Double Sided Traceless Washable Adhesive Invisible Gel 10Ft.,399,Brand New,0,False,
"12 Rolls Shipping Packaging Packing Box Sealing Tape 2.0 mil 2"" x 110 Yard 330FT",3403,Brand New,0,True,216
2X Auto Tape Acrylic Foam Double Sided Car Mounting Adhesive 3m x 10mm Truck New,517,Brand New,3,True,
Tarte Shape Tape Concealer 10ml ~ Brand New ~ Free Shipping ~ Choose you color,1099,Brand New,3,True,
Transparent Tape Double Sided Traceless Washable Adhesive Invisible Gel 33FT,699,Brand New,3,True,241
Carton Sealing Clear Tape Box Rolls Crafts Supply Bag Packing Packaging Shipping,394,Brand New,3,False,
4 Rolls Cloth Tape Wire electrical wiring harness car auto suv truck 19mm*15m US,755,Brand New,0,True,
New Global Brand 60-ft Black Electrical Tape 10 Rolls Per Pack,1299,Brand New,3,True,
"6 Rolls Premium Clear Carton Box Sealing Packing Tape 2.5 Mil Thick 2""x110 yard",1995,Brand New,3,True,
"6 Rolls Premium Brown Carton Box Sealing Packing Tape 2.5 Mil Thick 2""x110 yard",1995,Brand New,3,True,
Alien Tape Nano Tape Stick Nano Tape Locks Anything Without Screw Reusable Tape,815,Brand New,3,False,
"Gorilla Black Tape, 30 yd Roll",1595,Brand New,3,False,61
Auto Tape Acrylic FOAM Adhesive 3m x 20mm Double Sided Mounting Truck Car New,479,Brand New,3,True,
"Jovely Heavy Duty Clear Packing, Shipping & Moving Tape, 12 Pack ",1599,Brand New,0,True,
Double Sided Tape Heavy Duty Fiberglass Mesh Adhesive Transparent Tape Removable,699,Brand New,3,True,
"12 Rolls Packing Clear Tape Box Packaging 2.0mil 2"" x 55 yard (165 ft)",1849,Brand New,3,False,
"36 Rolls Clear Packing Tape 2.2 Mil Box Shipping Packaging 2"" x 110 Yards 330FT ",6499,Brand New,0,True,
"36 Rolls Carton Sealing Clear Packing Tape Box Shipping - 1.75 mil 2"" x 55 Yards",4221,Brand New,0,False,568
6 ROLLS EcoSwift Carton Sealing Packaging Packing Tape 1.6mil 2 x 55 yard 165 ft,1449,Brand New,3,False,2444
"1 Roll ""EcoSwift"" Brand Packing Tape Box Packaging 1.6mil 2"" x 55 yard (165 ft)",498,Brand New,0,False,10000
Prinko 12 Rolls 2.0 Mil Clear Packing Packaging Carton Sealing Tape 2x110 Yards,2189,Brand New,3,True,61
Black Gorilla Tape Double Thick Adhesive Tough Weather Resistant 1.88 in x 10 yd,1195,Brand New,3,True,
"3M VHB Double Sided Tape Heavy Duty Mounting Tape for Car, Home and Office",399,Brand New,0,False,
"24 Rolls 3"" Wide Packing Tape Box Sealing Clear Shipping 2 Mil 3 Inch x 110 Yard",6856,Brand New,0,False,1532
"Brake Light Repair Tape, Red, 1-7/8 x 60-In.",550,Brand New,3,True,
Scotch Pop Up Tape Refills,1899,Brand New,0,False,
"24 Rolls 3"" Extra-Wide Clear Shipping Packing Moving Tape 110 yds/330' ea - 2mil",5999,Brand New,0,True,600
"12 ROLLS Carton Box Sealing Packaging Packing Tape 2"" x 110 yards - Clear",2373,Brand New,3,False,535
20mm Polyimide Kapton Anti-Static High Temperature Heat Resistant Tape,595,Brand New,3,True,
"72 Rolls Carton Sealing Clear Packing Tape Box Shipping- 1.8 mil 2"" x 110 Yards",9899,Brand New,0,True,790
Alien Nano Tape✅Heavy Duty double sided✅ Transparent Reusable Tape As Seen on TV,694,Brand New,3,False,
1~2~6~12~24~36 Rolls eBay Branded Packing Tape Packaging Shipping Tape 2x75 Yard,2649,Brand New,3,True,
"Flex Seal Strong Rubberized Waterproof Flex Tape 4"" x 5' CLEAR",1195,Brand New,3,False,
"Duck EZ Start Clear Packing Tape, 1.88 in x 55 yd, 8 Pack",2497,Brand New,0,False,
Extra Strong Double Sided Floor Carpet Tape Heavy Duty Indoor 2 in x 16.4ft,799,Brand New,3,True,
6 Rolls 2” x 110 Yards Clear Box Packing Tape Sealing Shipping 2 mil,1699,Brand New,3,False,
"Gorilla Tape, White Duct Tape, 1.88"" x 10 yd, White, (Pack of 1)",699,Brand New,3,False,16
Leather Repair Tape Black Self-Adhesive Patch for Car Seats Couch Furniture Sofa,689,Brand New,3,False,
Packaging Tape 36 Rolls Heavy Duty for Shipping Packaging 2inch 60 Yard 2.7mil,3899,Brand New,0,True,
Roll Vinyl Pinstriping Pin Stripe DIY Self Adhesive Line Car Tape Decal Stickers,795,New (Other),3,True,
"12 rolls 2.7 Mil Commercial Grade Heavy Duty Packing Tape 2"" 180 Ft Each Roll.",2399,Brand New,3,True,603
Copper Foil Tape with Conductive Adhesive for Electrical Repairs (2 in x 6 Yds),799,Brand New,3,True,251
Lot of 2 Scotch Tear by Hand Clear Packaging Tape 1.88 inches x 38.2 yards,1465,Brand New,3,False,171
2 Rolls Heat Resistant High Temperature Tape Kapton 20mm x 52ft Transfer Thermal,799,Brand New,3,True,
"6 Rolls Carton Sealing Clear Packing Tape Box Shipping - 2 mil 2"" x 110 Yards",1720,Brand New,0,False,
"New Scotch 142-6 Heavy Duty Shipping Packaging Tape 1.88 Inch x 800 Inch, 6 Pack",1799,Brand New,0,False,144
Gorilla Heavy Duty Adhesive Repair Thick Duct Wide Tape Roll Waterproof Black,699,Brand New,3,False,124
"12 Rolls Premium Brown Carton Box Sealing Packing Tape 2.0 Mil Thick 2""x110 yard",3320,Brand New,3,True,
"60 Rolls Premium Brown Carton Box Sealing Packing Tape 2.0 Mil Thick 2""x110 yard",9695,Brand New,0,True,709
Shop on eBay,2000,Brand New,,False,
"12 Rolls Fragile Tape 2"" x 60 Yards  2.7 Mil Printed Packaging Tapes",2399,Brand New,0,True,
Exibond Double Sided Carpet Tape / Strong Adhesion  2-Inches x 10 Yards (1 Roll),895,Brand New,0,True,
"72 Rolls Premium Clear Carton Box Sealing Packing Tape 2.5 Mil Thick 2""x110 yard",11110,Brand New,0,True,246
Invisible Breast Lift Tape Roll Push-up Boob Shape Bra Nipple Cover Sticker 5M,595,Brand New,3,True,
36 ROLLS EcoSwift Carton Box Packaging Packing Tape 1.6mil 2 x 110 yard (330 ft),5699,Brand New,3,False,1444
"Tape King Quiet Packing Tape - Pack of 6, Clear, Heavy-Duty, Packaging, Boxing a",1250,Brand New,3,False,
**35 Feet**Genuine 3M VHB #5952 Double-Sided Mounting Acrylic Foam Tape Adhesive,451,Brand New,3,True,1582
3 Meters Nano Magical Tape Double Sided Traceless Washable Adhesive Invisible,375,Brand New,0,False,
"12 Rolls eBay Color Shipping and Packing Tape 2"" 75 Yard 2.2 mil Thick",2549,Brand New,3,True,
"Quiet Packing Tape - Pack of 6, Clear, Heavy-Duty, Packaging, Boxing and Shippin",1364,Brand New,3,False,
**10 Feet**Genuine 3M VHB #5952 Double-Sided Mounting Acrylic Foam Tape Adhesive,439,Brand New,3,True,1491
Alien Tape Nano Tape✅Stick✅ Instantly Locks Anything Without Screw Reusable Tape,685,Brand New,3,False,
"6 Rolls Clear Box Sealing Packing Tape Shipping - 2 mil 2"" x 55 Yards (165')",1340,Brand New,0,False,
2 Pack Auto Truck Car Acrylic Foam Double Sided Attachment Tape Adhesive 3mx10mm,539,Brand New,0,False,5609
Nano Magic Tape Double Sided Traceless Washable Adhesive Invisible Gel 1M/3M/5M,599,Brand New,0,True,
Transparent Tape Double Sided Traceless Washable Adhesive Invisible Gel 20FT,795,Brand New,0,False,655
Copper Foil Tape - 2in x 82ft / 28yds / 25m  -  EMI Conductive Adhesive,1499,Brand New,3,False,
"Scotch Clear Packing Tape, 1.88x22.2 Yd, 6 Rolls w/ Dispensers, Pack of 2",3282,Brand New,3,True,
6 Rolls Scotch Shipping Packaging Tape With Dispensers Heavy Duty Packing 3M,1941,Brand New,300,False,411
Red Fragile Adhesive Warning Tape - Heavy Duty Packing Packaging Tape Rolls 100M,799,Brand New,3,True,
"6 Rolls Clear Box Sealing Packing Tape Shipping - 2 mil 2"" x 55 Yards (165')",1599,Brand New,0,True,3817
"1-36 Roll EcoSwift Packing Packaging Carton Box Tape 1.6mil 2"" x 55 yard 165 ft",499,Brand New,0,False,1099
"Packaging Tape Long Lasting Scotch Clear 3in Core 1 Roll(1.88"" x 54.6yd)",698,Brand New,0,False,
"Clear 24 Rolls Carton Sealing Packing Shipping Box Tape 3"" x 100 Yards",6003,Brand New,0,False,1117
"12 Rolls 2""x110 Yards Fragile Handle with Care Packing Shipping Box Sealing Tape",3990,Brand New,3,False,439
"Shipping Depot Box Sealing Clear Packing Tape 2"" or 3"" x 110Yds up to 144 Rolls",904,Brand New,3,False,
"1 Roll 2""x110 Yards Fragile Handle with Care Packing Shipping Box Sealing Tape ",985,Brand New,3,False,141
Clear Resealable Recloseable Self Seal Adhesive Cello Lip Tape Poly Plastic bags,129,Brand New,3,False,740
***33 FEET*** 3M VHB 4905 Double Sided Mounting Tape Transparent Clear Car Auto,795,Brand New,3,True,
LED Strip Lights 100ft 50ft Music Sync Bluetooth 5050 RGB Room Light with Remote,999,Brand New,3,False,
4X Auto Tape Acrylic Foam Double Sided Mounting Adhesive 3m x 10mm Truck Car New,799,Brand New,3,True,
3.94 mil Industrial Grade Aluminum Foil Tape self Adhesive Seal Patch Air Duct,1199,Brand New,3,False,
"5 Rolls PVC Electrical Tape Wire Insulating 5 Color 32ft Length 0.7"" Wide Set",689,Brand New,3,True,821
"6 Rolls Clear Box Packing Tape Sealing Shipping 2 mil 1.9"" x 55 Yards 165'",1399,Brand New,0,True,
Nano Magical Tape Double Sided Traceless Washable Adhesive Gel 10ft X 3 Pack ,776,Brand New,0,False,71
"12, 24, 36 Rolls Ebay Black Shipping and Packing Tape 2"" 75 Yard 2.7mil Thick",2799,Brand New,0,False,
"0.7"" Carton Sealing Clear Tape Small Box Packing Packaging Shipping 110Yard/Roll",384,Brand New,3,False,
Tape King Quiet 6 Packing Tape Clear Rolls Sealing Heavy Duty Packaging Shipping,1195,Brand New,0,True,
"1"" x33ft White Teflon Tape PTFE 130um Thicker 662℉ Adhesive High-Temp Fiberglass",799,Brand New,3,False,
80x Invisible Face Lifter Tape Instant Face Lift Tape Double Chin Wrinkles Thin,539,Brand New,3,True,
Clear Packing Tape 110 Yards 2 Mil (360 ft) Clear Carton Sealing Tapes,570,Brand New,0,True,
"Double Sided Mounting Adhesive Tape, Home & Automotive Acrylic Foam Tape 60 Ft",999,Brand New,3,True,122
Double Sided-SUPER STICKY HEAVY DUTY ADHESIVE TAPE 3M 300LSE  Cell Phone Repair,509,Brand New,3,True,907
"Flex Seal Rubberized Waterproof Flex Tape 4"" x 5' WHITE ",1125,Brand New,3,False,
6 ROLLS EcoSwift Carton Sealing Packaging Packing Tape 2.0mil 2 x 55 yard 165 ft,1399,Brand New,3,False,1673
Scotch 3M Storage Packing Tape 6 Rolls Heavy Duty Shipping Packaging Moving New.,2060,Brand New,3,False,
*6-pack Long Wide Rolls* Tesa Adhesive Wire Harness Cloth Tape 19mm x 25M 51608 ,1996,New – Open box,3,False,
Simply Cool Clear Packing Tape with Dispenser Shipping (6 Rolls)1.88x1200 in,1499,Brand New,0,True,
"1/2"" x 60 yd Filament Reinforced Strapping Fiberglass Tape 3.9 mil Free Shipping",599,Brand New,3,True,133
"Flex Seal Flex Tape Flexible Sealing Adhesive Tape 8"" x 5' As Seen On TV BLACK",1395,Brand New,3,False,
"6 Rolls Carton Sealing Brown Packing Shipping Box Tape 2"" x 55 Yards  ",1440,Brand New,3,True,
Magical Tape Double Sided Traceless Washable Adhesive Invisible Gel 10 Feet NEW,399,Brand New,0,False,
"KT Tape Cotton 10"" Precut Kinesiology Therapeutic Elastic Sports Roll, 20 Strips",1039,Brand New,0,True,
"6 ROLLS EcoSwift Carton Box Sealing Packaging Packing Tape 1.6mil 2"" x 330 feet",1649,Brand New,3,False,939
" Heavy Duty Shipping Packaging Tape1.88 Inch x 800 Inch, 142-6/Clear, 6 Rolls .",1799,Brand New,0,False,186
4 rolls Cloth Tape Wire electrical wiring harness car auto suv truck 19mm*15m,677,Brand New,3,False,2003
12 Rolls Ebay Tape | Color & Black | For Shipping and Packing - * High Quality,2699,Brand New,0,False,
1.88 In. X 54.6 Yds. Heavy Duty Shipping Packaging Tape with Dispenser (2-Pack),1100,Brand New,0,False,
LUX® Packing Tape 2'' x 55yds 36/cs Clear,3900,Brand New,3,False,163
"6 Rolls Clear Packing Packaging Carton Sealing Tape 2.0 Mil Thick 2"" x 110 Yards",1839,Brand New,3,True,4331
Aluminum Foil Tape 2in x 65ft HVAC Tape Work on Furnace Heating AC Ducts,754,Brand New,3,False,
Reflective Trailer Safety Tape Conspicuity Tape Warning Sign Car Truck Red White,995,Brand New,3,True,
Scotch Heavy Duty Shipping Packaging Tape,999,Brand New,3,False,
"18 rolls Carton Sealing Clear Packing/Shipping/Box Tape- 2.5 Mil- 2"" x 110 Yards",5225,Brand New,3,True,1562
Leather Repair Tape Black Self-Adhesive Patch for Car Seats Couch Sofa Furniture,689,Brand New,3,False,
"2"" INCH x 33' FEET DOUBLE SIDED ADHESIVE CLEAR TAPE ROLL Heavy Duty Strong",695,Brand New,0,True,1174
"10 Rolls Teflon Plumbing Thread Seal Tape 1/2 x 520""",749,Brand New,3,True,1043
8mm 100ft Kapton Polyimide Tape Adhesive High Temperature Heat Resistant USA 33M,388,Brand New,0,False,743
"Shurtape 104661 2"" Blue Painters Tape, 60 Yards/Roll, Case of 24",10803,Brand New,3,False,1989
LCD Screen Adhesive Tape Frame Bezel Seal For iPhone 6s 7 8 XR XS Max 11 12 13,179,Brand New,0,False,275
TESA 51036 Adhesive Cloth Fabric Exterior Loom Harness Tape High Temp 19mmx25mm,1095,Brand New,3,True,
"Shipping Depot Carton Box Sealing Clear Packing Tape 3"" x 110 Yds up tp 96 Rolls",1156,Brand New,3,False,
2 Rolls Official Classic eBay Branded Packing Shipping Tape BOPP 75 Yards 2Mil,1149,Brand New,0,False,
Exibond Blue Painters Tape 1-Inch x 60 Yards (1 Roll),795,Brand New,0,True,
Nano Tape Grip Double Sided Traceless Washable Adhesive Invisible Gel 1M/3M/5M,589,Brand New,0,True,
Shop on eBay,2000,Brand New,,False,
2PC Luminous Tape Self Adhesive Glow In The Dark Wall Sticker Fluorescent Light,689,Brand New,3,True,55
Auto Tape Acrylic Foam DOUBLE SIDED Back 3m x10mm Mounting Adhesive 1-6 ROLLS,394,Brand New,3,True,
"Copper Foil Tape - 2"" X 10ft -  EMI Shielding Conductive Tape / Ship from USA",795,Brand New,3,True,
"3M 35 Scotch Vinyl Electrical Color Coding Tape, 1/2 in x 20 ft, Red",549,Brand New,3,False,504
"1""x 60 YARDS BLACK HEAT SHRINK TAPE",1099,Brand New,3,False,
"60"" Body Measuring Tailor Tape Ruler Sewing Cloth Measure Seamstress Soft Flat ",295,Brand New,0,False,
"Denso Tape Grey 2"" x 25ft 324810",358,New – Open box,595,True,
Security Printed Box Carton Sealing Packing Tape In Different Lengths By UTAPE®,799,Brand New,3,True,
